     aa       0        5       10       15       20       25       30       35       40       45       50       55       60       65       70       75       80       85       90       95      100      105      110      115      120      125      130      135      140      145      150      155      160      165      170      175      180      185      190      195      200      205      210      215      220      225      230      235      240      245      250      255      260      265      270      275      280      285      290      295      300      305      310      315      320      325      330      335      340      345      350      355      360   
     11   -38.105  -16.390  -31.054    7.132   -3.576   -3.029    5.558    1.315   -2.628   10.372    7.206    1.645   17.252   18.222    9.356    6.343   11.759    2.949   -0.586   15.892   17.505   10.270   30.476  -26.088  -15.954  -14.492  -15.230  -13.261   -7.546  -12.248   -1.082    4.954    3.246    1.793    2.164    0.484   -8.578   -8.616   -2.734   -2.703    0.628   -3.383    6.111    8.356    1.759   -2.977    3.509   -6.073   -4.437   -1.237   -1.079   -2.963   -1.375   -5.094   -0.728    3.652    2.424   -1.853   -8.109    4.791    7.581    6.287    4.673    3.570    3.840   12.077    0.089  -35.154   16.635   28.820    0.000    0.000    0.000 
     16    -2.864   -3.548    5.901    4.052    3.316   11.719    6.611    4.583   11.474   13.474    4.335   12.931   20.259   15.757   12.661   13.617   11.623    6.716   11.970   17.643   16.620   16.553   18.861   19.638    7.472    5.655    6.178    7.125    5.896    5.599    8.150    6.502    7.112    9.375    9.376    5.635    2.900    5.427    4.579    6.914    4.743    7.347    8.826    8.872    5.527    6.145    7.914    3.314    1.739    2.132    3.396    0.725   -0.964    0.563   -1.535    1.852   -1.336   -1.403    1.024    0.664   -0.066   -0.386   -0.538   -3.604   -1.540    3.191  -27.360  -22.921    0.000    0.000    0.000    0.000    0.000 
     21   -13.390  -12.558  -13.711  -14.605  -13.978  -14.550  -15.159  -15.444  -15.935  -16.656  -17.890  -18.189  -20.084  -19.068  -18.933  -29.298  -24.285  -23.951  -27.268  -27.551  -27.576  -29.407  -26.682  -26.479  -26.024  -24.368  -22.290  -22.338  -21.548  -20.021  -19.537  -12.142  -11.696  -12.120  -13.435  -14.953  -12.181  -13.147  -12.205  -12.948  -11.769  -14.385  -18.084  -18.538  -23.157  -31.500  -39.164   39.549   32.324   26.659   21.129   19.559   17.188   15.502   13.378   15.346   11.589    9.579    8.447    6.370    4.306    3.553    4.512    3.502    2.886    7.493  -37.134    0.000    0.000    0.000    0.000    0.000    0.000 
     26     0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 
     31     0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 
     36     0.000    0.000    0.000    0.000    0.000  -44.459    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  -42.638  -43.030    0.000    0.000  -43.464  -44.244    0.000  -38.631    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  -33.542    0.000  -30.128  -33.249  -33.028  -32.976    0.000  -36.633  -35.590  -37.270  -38.889    0.000  -36.762    0.000    0.000  -35.777  -31.813    0.000    0.000  -30.833  -30.407  -31.404  -30.253    0.000  -29.807    0.000    0.000    0.000  -23.107  -29.732    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 
     41    36.962   41.863   39.382   43.344  -43.918  -44.962   43.623  -42.962  -42.995  -43.395  -43.516  -41.094  -43.255  -43.289  -42.374  -43.859   43.060  -40.683   44.962   43.617   44.499   43.568   43.797  -43.307  -38.672  -37.073  -37.181  -37.300  -36.526  -33.320  -32.958  -33.881  -38.704  -30.526  -29.603  -29.488  -30.189  -28.045  -29.903  -31.772  -33.798  -30.412  -35.208  -32.790  -34.716  -36.469  -34.723  -35.571  -33.348  -34.214  -33.745  -31.431  -30.511  -29.119  -28.067  -30.109  -29.509  -29.052  -29.430  -27.893  -29.043  -29.732  -22.972  -21.644  -22.673  -20.230  -22.983  -24.237  -25.056  -24.884  -23.562  -23.345  -22.974 
     46   -19.667  -15.637  -36.976  -13.595  -30.566  -25.774  -26.340  -20.588  -17.645  -26.660  -24.433  -21.220  -21.154  -20.113  -22.486  -28.077  -30.006  -20.036  -41.606   -7.198  -21.350  -19.236  -23.515  -18.805  -18.878  -12.614  -10.532  -13.098   -8.444   -5.908   -0.966    0.796  -13.947  -13.954   -6.461   -7.129   -7.027   -6.492   -1.947   -0.422   -3.905   -3.539   -2.562   -8.011   -8.197  -11.372  -14.183  -16.703  -13.555  -11.714  -11.018  -13.057  -10.564   -9.660   -5.950   -8.086  -10.501   -9.310  -13.332  -15.551  -10.169  -17.104  -14.687   -9.318  -11.073   -8.865   -9.629   -6.938   -3.387  -11.153  -14.481   -9.936  -10.325 
     51   -13.938  -11.878   -2.641   -9.095  -10.278  -10.528   -9.891   -8.448   -6.967   -5.634   -9.068   -3.854   -7.046   -9.300   -5.405   -5.012   -9.517  -10.696  -20.049  -20.212  -15.449   -8.100   -1.401   -0.577   -3.860   -4.853    4.321   -2.279   -1.837   -0.118   -1.115   -2.322    0.430  -10.053   -7.721   -8.146   -7.446   -8.501   -7.255   -8.300   -5.162   -7.166  -10.098  -11.974  -10.624   -8.193   -9.045   -8.834   -8.105   -4.942   -1.970   -4.840   -5.544   -3.526   -2.921   -1.868    1.883   -3.869   -7.074   -7.992   -6.380   -7.297   -4.107   -2.904   -1.689   -6.184   -6.066   -5.800   -6.782   -5.666   -5.997   -6.184   -6.274 
     56   -10.737   -9.035   -9.555  -12.786  -10.449   -8.796  -13.246   -6.747   -9.623  -11.229   -8.193   -7.623   -8.800   -8.916   -8.694  -10.360  -10.478  -10.736   -5.455   -7.584  -10.383   -8.826   -7.789   -9.585   -9.089   -7.117   -9.551   -8.117   -4.941   -4.739   -5.197   -3.311   -3.686   -8.972  -11.330   -8.818  -10.043   -7.478   -7.671  -10.283   -8.250   -9.678   -8.079   -8.750   -9.916   -8.654   -8.233   -9.246   -7.949   -4.468   -6.130   -9.951   -8.440   -6.928   -5.818   -7.959   -6.398   -5.363   -7.764   -9.171   -9.430   -9.727   -8.807   -8.611  -10.241   -9.139   -7.535   -6.534   -9.844   -9.507   -9.970  -10.227   -7.514 
