    Ret       0        5       10       15       20       25       30       35       40       45       50       55       60       65       70       75       80       85       90       95      100      105      110      115      120      125      130      135      140      145      150      155      160      165      170      175      180      185      190      195      200      205      210      215      220      225      230      235      240      245      250      255      260      265      270      275      280      285      290      295      300      305      310      315      320      325      330      335      340      345      350      355      360   
     11    12.265    4.368   -0.646   -2.273   -2.650   -2.626   -2.260   -2.537   -2.423   -2.050   -2.271   -2.022   -2.436   -2.047   -2.225   -2.398   -2.031   -2.059   -1.974   -1.922   -2.315   -1.860   -2.700    2.499   -0.912   -2.205   -2.389   -2.188   -2.412   -2.380   -2.194   -2.156   -1.817   -2.004   -2.358   -1.704   -1.542   -1.821   -1.963   -2.075   -2.143   -1.746   -2.106   -2.288   -2.027   -2.107   -2.202   -2.002   -2.596   -2.599   -2.252   -2.213   -2.851   -2.715   -2.355   -2.856   -2.675   -2.084   -3.096   -2.857   -2.136   -2.189   -2.473   -2.564   -2.277   -2.218   -4.044   -2.796    6.180   11.978    0.000    0.000    0.000 
     16    -5.251   -3.883   -3.899   -3.465   -3.665   -2.966   -3.193   -3.402   -3.080   -2.748   -2.884   -3.077   -2.947   -2.707   -3.347   -3.297   -2.767   -3.350   -3.081   -3.074   -3.601   -3.096   -3.204   -3.268   -3.021   -3.108   -3.086   -3.936   -4.356   -3.818   -3.887   -3.509   -3.682   -3.667   -3.506   -3.470   -3.958   -3.368   -3.514   -3.794   -3.832   -3.423   -3.531   -3.789   -3.695   -3.570   -3.428   -3.437   -3.898   -3.785   -3.151   -3.564   -3.872   -3.511   -3.421   -3.936   -3.911   -3.848   -4.143   -3.774   -3.549   -3.871   -4.307   -3.784   -4.125   -4.443  -10.236  -23.456    0.000    0.000    0.000    0.000    0.000 
     21   -15.016  -14.054  -14.443  -14.571  -14.194  -13.820  -14.113  -13.577  -13.060  -13.423  -12.571  -11.761  -11.032  -11.149  -14.490  -10.195   -9.882  -10.256  -10.088  -10.328   -9.282   -7.828   -8.997   -8.929   -8.089   -8.814  -10.205  -11.803  -11.147  -11.322   -8.913   -7.359   -7.984   -8.037   -8.415   -8.067   -8.612   -8.174   -8.080   -8.033   -6.891   -5.753   -5.380   -4.305   -3.393   -3.412   -3.558    3.397    3.953    4.979    6.013    6.692    6.935    7.426    8.745    8.902    9.422   10.364   10.339   10.210   10.341   10.424   10.496   10.979   12.087   12.174  -18.285    0.000    0.000    0.000    0.000    0.000    0.000 
     26     0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 
     31     0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 
     36     0.000    0.000    0.000    0.000    0.000  -26.344    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  -30.665  -26.887    0.000    0.000  -25.298  -23.582    0.000  -26.646    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  -29.984    0.000  -26.857  -30.234  -28.935  -25.370    0.000  -24.549  -28.935  -27.634  -26.497    0.000  -26.520    0.000    0.000  -28.524  -26.405    0.000    0.000  -26.057  -27.471  -30.203  -30.830    0.000  -35.541    0.000    0.000    0.000  -31.402  -33.434    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000 
     41    23.153   27.122   27.335   26.897  -26.950  -27.732   27.043  -28.397  -29.689  -28.126  -28.859  -29.889  -28.517  -27.401  -31.629  -30.018   30.923  -25.510   27.606   27.278   27.680   31.060   27.286  -15.325  -28.955  -26.857  -27.334  -26.875  -26.960  -27.874  -25.604  -25.235  -30.978  -31.016  -30.636  -28.303  -30.724  -30.443  -31.123  -27.142  -24.215  -27.974  -27.054  -26.331  -27.277  -25.818  -26.471  -28.518  -29.668  -29.410  -27.583  -27.829  -28.628  -29.196  -28.339  -25.867  -24.928  -30.018  -33.364  -33.325  -37.081  -34.774  -32.588  -33.378  -34.603  -39.318  -37.264  -36.160  -36.608  -37.105  -37.891  -39.208  -39.734 
     46    -3.101   -5.707   -4.341   -5.657   -7.648   -5.539   -6.921  -10.191   -9.235   -9.605  -10.745  -10.337   -8.212  -11.084  -10.933   -9.813   -9.866   -9.822   -6.047   -6.174   -9.400  -10.603   -7.692  -12.151  -11.792  -12.166  -11.438  -10.737  -12.662  -14.154  -12.254  -13.149  -12.854  -14.463  -16.410  -15.849  -18.367  -20.542  -18.527  -14.652  -10.728  -12.789  -11.253  -11.506   -9.685  -10.436   -9.542  -11.537  -11.217  -10.863  -11.304  -12.465  -10.898  -13.243  -13.541  -14.685  -12.950  -10.899  -12.033  -13.984  -15.598  -19.400  -20.721  -23.217  -21.202  -21.536  -20.207  -19.507  -17.394  -18.511  -22.778  -22.099  -25.458 
     51   -10.912  -10.372   -8.748   -8.343   -9.486   -9.908  -11.447  -14.956  -12.578  -12.947  -15.372  -12.635  -14.445  -14.972  -13.573  -12.534  -15.776  -13.894  -15.340  -13.454  -16.664  -15.106  -14.827  -12.702  -14.168  -15.140  -12.641  -16.066  -19.415  -18.650  -18.795  -19.402  -18.969  -18.332  -20.748  -22.568  -24.150  -25.991  -26.975  -24.616  -21.293  -19.083  -20.187  -18.232  -18.641  -17.648  -17.727  -17.683  -15.854  -16.332  -17.235  -16.290  -14.301  -17.036  -17.309  -16.966  -18.316  -18.009  -14.331  -14.607  -19.424  -18.988  -18.286  -17.779  -15.846  -17.573  -19.247  -17.746  -17.562  -18.464  -17.093  -17.299  -17.130 
     56   -19.923  -16.621  -18.161  -21.834  -17.143  -17.800  -20.713  -20.499  -18.446  -21.376  -24.183  -21.134  -21.283  -23.634  -20.509  -20.882  -23.104  -23.129  -21.745  -19.483  -23.430  -20.824  -19.045  -22.729  -21.459  -19.949  -24.883  -23.254  -26.052  -25.315  -25.685  -28.896  -27.534  -25.890  -28.699  -31.826  -30.692  -31.860  -34.822  -35.218  -32.314  -26.622  -28.189  -26.001  -24.913  -26.007  -26.879  -27.181  -24.148  -24.958  -26.666  -27.526  -25.791  -23.685  -24.880  -27.691  -26.160  -24.218  -26.238  -25.159  -25.815  -27.283  -27.097  -28.274  -28.987  -29.493  -27.298  -25.034  -28.704  -29.031  -27.496  -25.981  -25.134 
